//EOS file using Gadget forsterite EOS. c=constant entropy, v=constant entropy and vapor dome 
 //Made using GADGET_Fe_EOS.txt and ANEOS_Dunite_VapDome.txt
//Next line defines the read data type (0=standard linear, 1=standard log, 2=Hubbard) 
# 0 
Density (kg/m^3)	Pressure (Pa)	Temperature (K)	Entropy (J/kg)	
5.892102E+01	2.121508E+01	2.028574E+03	1.500000E+03
5.953533E+01	2.121524E+01	2.028575E+03	1.500000E+03
6.015605E+01	2.121539E+01	2.028576E+03	1.500000E+03
6.078323E+01	2.121555E+01	2.028576E+03	1.500000E+03
6.141696E+01	2.121571E+01	2.028577E+03	1.500000E+03
6.205729E+01	2.121574E+01	2.028577E+03	1.500000E+03
6.270430E+01	2.121574E+01	2.028577E+03	1.500000E+03
6.335805E+01	2.121574E+01	2.028577E+03	1.500000E+03
6.401862E+01	2.121574E+01	2.028577E+03	1.500000E+03
6.468608E+01	2.121574E+01	2.028577E+03	1.500000E+03
6.536049E+01	2.121574E+01	2.028577E+03	1.500000E+03
6.604194E+01	2.121574E+01	2.028577E+03	1.500000E+03
6.673049E+01	2.121574E+01	2.028577E+03	1.500000E+03
