//EOS file using Gadget EOS. c=constant entropy, v=constant entropy and vapor dome 
 //Made using GADGET_EOS_forsterite.txt and ANEOS_Dunite_VapDome.txt
//Next line defines the read data type (0=standard linear, 1=standard log, 2=Hubbard) 
# 1 
Density (kg/m^3)	Pressure (Pa)	Temperature (K)	Entropy (J/kg)	
6.468608E-05	1.485599E-01	1.867971E+03	3.200000E+03
6.673049E-05	1.508262E-01	1.868898E+03	3.200000E+03
6.883952E-05	1.531270E-01	1.869824E+03	3.200000E+03
7.101521E-05	1.554629E-01	1.870752E+03	3.200000E+03
7.325965E-05	1.578345E-01	1.871679E+03	3.200000E+03
7.557504E-05	1.602423E-01	1.872607E+03	3.200000E+03
7.796360E-05	1.626868E-01	1.873536E+03	3.200000E+03
8.042765E-05	1.651685E-01	1.874465E+03	3.200000E+03
8.296959E-05	1.676882E-01	1.875395E+03	3.200000E+03
8.559185E-05	1.702462E-01	1.876325E+03	3.200000E+03
8.829700E-05	1.728433E-01	1.877255E+03	3.200000E+03
9.108764E-05	1.754800E-01	1.878186E+03	3.200000E+03
9.396648E-05	1.781570E-01	1.879118E+03	3.200000E+03
9.693631E-05	1.808747E-01	1.880049E+03	3.200000E+03
1.000000E-04	1.836340E-01	1.880982E+03	3.200000E+03
1.031605E-04	1.859488E-01	1.881820E+03	3.200000E+03
1.064209E-04	1.882929E-01	1.882659E+03	3.200000E+03
1.097844E-04	1.906665E-01	1.883498E+03	3.200000E+03
1.132541E-04	1.930700E-01	1.884338E+03	3.200000E+03
1.168335E-04	1.955038E-01	1.885178E+03	3.200000E+03
1.205261E-04	1.979683E-01	1.886019E+03	3.200000E+03
1.243353E-04	2.004639E-01	1.886859E+03	3.200000E+03
1.282650E-04	2.029909E-01	1.887701E+03	3.200000E+03
1.323188E-04	2.055498E-01	1.888542E+03	3.200000E+03
1.365008E-04	2.081409E-01	1.889384E+03	3.200000E+03
1.408149E-04	2.107647E-01	1.890226E+03	3.200000E+03
1.452654E-04	2.134216E-01	1.891069E+03	3.200000E+03
1.498565E-04	2.161119E-01	1.891912E+03	3.200000E+03
1.545928E-04	2.188362E-01	1.892755E+03	3.200000E+03
1.594787E-04	2.214578E-01	1.893577E+03	3.200000E+03
1.645191E-04	2.235571E-01	1.894311E+03	3.200000E+03
1.697187E-04	2.256763E-01	1.895044E+03	3.200000E+03
1.750827E-04	2.278157E-01	1.895779E+03	3.200000E+03
1.806162E-04	2.299753E-01	1.896513E+03	3.200000E+03
1.863246E-04	2.321554E-01	1.897248E+03	3.200000E+03
1.922135E-04	2.343561E-01	1.897983E+03	3.200000E+03
1.982884E-04	2.365777E-01	1.898718E+03	3.200000E+03
2.045553E-04	2.388204E-01	1.899454E+03	3.200000E+03
2.110203E-04	2.410843E-01	1.900189E+03	3.200000E+03
2.176897E-04	2.433697E-01	1.900926E+03	3.200000E+03
2.245698E-04	2.456767E-01	1.901662E+03	3.200000E+03
2.316674E-04	2.480057E-01	1.902399E+03	3.200000E+03
2.389893E-04	2.503567E-01	1.903136E+03	3.200000E+03
2.465426E-04	2.527300E-01	1.903873E+03	3.200000E+03
2.543346E-04	2.548585E-01	1.904553E+03	3.200000E+03
2.623729E-04	2.566013E-01	1.905148E+03	3.200000E+03
2.706652E-04	2.583559E-01	1.905742E+03	3.200000E+03
2.792196E-04	2.601226E-01	1.906337E+03	3.200000E+03
2.880444E-04	2.619014E-01	1.906932E+03	3.200000E+03
2.971481E-04	2.636923E-01	1.907527E+03	3.200000E+03
3.065395E-04	2.654954E-01	1.908123E+03	3.200000E+03
